8.58,  21.48,  29.62,  34.23,  37.36,  40.09,  41.97,   
56.6,  53.43,  52.85,  53.49,  53.92,  54.08,  53.24,   
95.78,  84.04,  77.28,  72.29,  69.52,  67.69,  64.78,   
99.94,  97.28,  91.96,  86.44,  82.06,  78.03,  75.24,   
100.0,  99.83,  98.11,  94.62,  90.34,  87.11,  83.59,   
100.0,  99.97,  99.61,  98.26,  95.88,  93.45,  90.04,   
100.0,  100.0,  99.95,  99.55,  98.49,  96.65,  94.55,   
